LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,SalePrice
9260,8,1915,1568,2158,2,341177
2182,7,1937,1748,608,0,428156
7987,8,1948,2381,590,1,87154
15905,2,1900,2398,3589,2,51048
3432,2,1946,1033,551,2,430906
5765,6,1971,1809,3159,1,61867
18113,1,1908,2273,2948,1,440749
7684,4,1948,1313,3492,3,396491
2281,2,1924,2849,3167,3,298719
14693,2,1966,2144,2270,1,144520
5668,5,1997,2760,1715,0,86126
2355,3,1929,2843,2927,1,364515
18564,4,2019,1227,2137,2,443075
19712,4,1956,850,3503,0,190452
6482,2,1965,2304,817,3,497982
16437,5,1931,2955,1678,3,138306
19315,3,1987,1211,3496,1,134914
9787,7,1978,2577,2671,2,430315
16517,3,1938,2288,3159,0,400528
15475,5,1962,1897,3842,3,396706
2287,3,1902,1569,1769,0,391196
8681,7,1981,1689,3884,0,435209
11177,1,1945,2029,3261,3,211470
11513,8,2000,2002,3526,1,97369
18463,1,1939,552,559,1,245730
4516,5,1997,2650,1590,3,400872
12130,5,1998,2401,3349,1,404803
13654,2,1943,1579,787,2,166923
17148,2,1950,1372,528,3,433673
12910,4,1988,2718,1701,2,443083
17325,6,2009,998,1634,0,53704
2372,2,1974,1641,2421,2,352092
12852,7,2019,1423,3681,0,145565
14102,9,1904,2942,1890,1,369119
10192,6,2019,1931,2522,3,372083
6441,3,1991,1500,2753,3,214281
9824,3,1958,2372,2796,1,474186
2198,2,1941,761,1272,3,350685
4286,5,2002,2762,2603,3,351647
12057,9,1978,1028,3955,2,483690
3455,4,2010,2566,3243,3,165007
6785,5,1961,658,2444,2,277529
8848,2,1940,1700,847,1,128067
10532,8,1979,2870,3783,2,81820
9531,5,1943,979,1887,0,352325
12014,3,1974,970,930,3,280245
19584,4,1902,847,3345,3,354241
17718,5,1995,1463,1219,2,477296
3793,6,1928,2302,3806,0,126824
7966,7,1967,1137,2741,3,262150
6641,6,1922,1052,1818,1,454771
13507,9,1939,2063,2059,1,226428
19957,1,1980,938,712,0,126308
11409,2,1990,559,3112,0,363866
6793,8,2018,2146,724,1,183944
12503,7,1981,1173,903,0,424818
7935,6,1939,1459,2759,0,368297
9646,1,2017,1720,1233,1,112914
13862,5,2007,865,2578,1,395284
16360,8,1952,614,2526,3,257444
19716,5,1986,728,3076,2,493918
3265,7,1993,2662,2076,2,203063
12032,3,1930,1638,1770,1,337901
13174,9,1991,599,989,2,296409
16562,2,1919,1417,3525,2,367602
5200,3,2006,2466,2313,0,406209
2798,2,1999,1029,1170,0,306730
14665,7,2013,1298,3154,2,225293
2934,4,1960,1345,546,3,404301
9668,9,2011,2921,2535,2,478426
18945,5,1900,1484,1507,3,313809
2106,8,2005,2741,2815,0,455959
16606,9,1935,844,1160,3,281354
19990,6,2003,1481,2797,2,154888
8136,5,1979,1687,1405,3,289002
13268,6,1988,1920,2606,1,145241
18827,4,1963,2609,609,0,235112
15137,2,1994,672,722,3,317418
7909,9,1951,2889,3890,3,268737
3671,6,1990,2424,899,0,189886
2696,8,1913,2993,1531,3,241613
16281,9,1997,948,1788,0,213847
10924,9,1976,2085,2552,3,259100
19365,8,2011,1939,804,3,441665
10879,2,1923,644,2772,3,56180
12465,7,1967,2648,893,0,482438
9638,2,1962,2247,770,2,153519
11984,9,1913,1029,1983,0,203897
2179,5,1975,2022,870,2,51424
15417,5,1992,2303,894,1,189868
4732,3,1907,1163,1040,2,392868
19659,8,1994,2953,1594,2,374622
9161,3,2018,1491,1491,0,495592
10746,4,1993,1460,3615,3,477100
13601,6,2012,799,1891,3,57971
3970,9,1901,592,1666,3,136404
14320,3,1962,704,887,0,407354
13458,4,1908,2551,3469,3,484425
6993,6,2001,1238,3646,0,435605
8302,1,2007,2643,2232,2,407406
